Unnamed: 0,SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,TotalPastDueIncidents,DebtRatioBucket,AgeBand,RiskProbability,RiskTier
42,0,0.07289757,81,0,75.0,5400.0,7,0,0,0,0.0,0,Very High (>100%),70+,0.1267564356533519,Low Risk
43,0,0.469056842,31,0,0.048211004,9250.0,4,0,0,0,1.0,0,Low (<20%),30-39,0.4393494432022654,Medium Risk
44,0,0.718705378,28,0,0.170125614,3661.0,4,0,0,0,1.0,0,Low (<20%),18-29,0.6204488856877839,High Risk
45,0,0.368875933,68,0,1687.5,1.0,31,0,1,0,0.0,0,Very High (>100%),60-69,0.45008951322985175,Medium Risk
46,0,0.000602723,70,0,0.177787036,16800.0,12,0,1,0,2.0,0,Low (<20%),60-69,0.1451620429495403,Low Risk
47,0,0.061440132,62,0,0.011167837,3133.0,2,0,0,0,0.0,0,Low (<20%),60-69,0.15158054367296758,Low Risk
48,0,0.140110634,31,0,0.689370485,1937.0,4,0,2,0,0.0,0,High (60-100%),30-39,0.3329711407837045,Medium Risk
49,0,0.834048027,38,0,0.393662026,13000.0,13,0,2,0,2.0,0,Moderate (20-40%),30-39,0.7180019250593104,High Risk
50,0,7.96e-05,70,0,0.256339661,6900.0,21,1,1,0,0.0,1,Moderate (20-40%),60-69,0.23336977987114157,Medium Risk
51,0,0.818977517,73,0,3095.0,0.0,9,0,1,1,0.0,1,Very High (>100%),70+,0.5638717983245374,High Risk
52,1,0.728150491,31,0,0.824725092,3000.0,10,0,2,0,1.0,0,High (60-100%),30-39,0.7041498833188908,High Risk
53,0,0.9999999,62,0,0.0,5400.0,1,0,0,0,0.0,0,Low (<20%),60-69,0.5957709624311213,High Risk
54,0,0.028562367,51,0,0.306381499,5750.0,5,0,1,0,0.0,0,Moderate (20-40%),50-59,0.18906380973806658,Low Risk
55,0,0.992015968,29,0,0.008064516,2231.0,1,0,0,0,0.0,0,Low (<20%),18-29,0.7325210542437266,High Risk
56,0,0.070853769,55,0,0.073147745,13793.0,4,0,1,0,0.0,0,Low (<20%),50-59,0.16732663146381985,Low Risk
57,0,0.454971915,46,1,0.016921775,13000.0,10,0,0,0,1.0,1,Low (<20%),40-49,0.44715850728888373,Medium Risk
58,0,0.401199782,64,0,0.351258937,3216.0,4,0,1,0,0.0,0,Moderate (20-40%),60-69,0.30972159849812436,Medium Risk
59,0,0.541108804,43,0,2477.0,5400.0,3,0,1,0,2.0,0,Very High (>100%),40-49,0.44018941581395754,Medium Risk
60,0,0.655569945,35,0,0.261609907,5813.0,10,0,0,0,2.0,0,Moderate (20-40%),30-39,0.5980436800246334,High Risk
61,0,0.651603452,58,0,0.241135663,7783.0,11,0,1,0,0.0,0,Moderate (20-40%),50-59,0.5014944202978656,High Risk
62,0,0.027399502,69,0,0.00803428,5600.0,3,0,0,0,0.0,0,Low (<20%),60-69,0.12559309328558027,Low Risk
63,0,0.101155821,72,0,1720.0,5400.0,12,0,2,0,0.0,0,Very High (>100%),70+,0.19201791889770836,Low Risk
64,0,0.009788862,46,0,1.051397656,3326.0,6,0,2,0,2.0,0,Very High (>100%),40-49,0.240894152644396,Medium Risk
65,0,0.337520702,60,0,0.549877805,4500.0,10,0,2,0,0.0,0,Elevated (40-60%),50-59,0.35021846450592087,Medium Risk
66,0,0.0,67,0,0.540983607,3720.0,2,0,1,0,0.0,0,Elevated (40-60%),60-69,0.1354211679605372,Low Risk
67,0,0.750873672,55,2,0.316416365,7723.0,17,0,1,0,1.0,2,Moderate (20-40%),50-59,0.7210439259243604,High Risk
68,0,0.006799093,27,1,0.681045752,764.0,3,0,0,0,0.0,1,High (60-100%),18-29,0.28100847611334834,Medium Risk
69,0,0.004264079,31,0,0.111444278,2000.0,6,1,0,0,2.0,1,Low (<20%),30-39,0.2952068925279788,Medium Risk
70,0,0.26948375,64,0,0.16106176,9455.0,13,0,1,0,3.0,0,Low (<20%),60-69,0.30180524196208364,Medium Risk
71,0,0.265898391,36,0,0.262611807,8384.0,6,0,2,0,1.0,0,Moderate (20-40%),30-39,0.37520335398029975,Medium Risk
72,0,0.142013011,67,0,1824.0,5400.0,7,0,2,0,0.0,0,Very High (>100%),60-69,0.19689757904136382,Low Risk
73,0,0.827708197,56,0,0.369590815,6793.0,15,1,1,0,0.0,1,Moderate (20-40%),50-59,0.6914689212257146,High Risk
74,0,0.059668871,31,0,3162.0,0.0,11,0,2,0,1.0,0,Very High (>100%),30-39,0.3128698782181826,Medium Risk
75,1,0.13306279,49,1,0.182881653,10257.0,9,0,2,0,3.0,1,Low (<20%),40-49,0.3337394807785232,Medium Risk
76,0,0.234218112,36,0,0.116614347,8600.0,19,0,0,0,3.0,0,Low (<20%),30-39,0.41387551335270967,Medium Risk
77,0,0.122295933,29,0,0.694646949,4800.0,5,0,1,0,0.0,0,High (60-100%),18-29,0.3027521866558829,Medium Risk
78,0,0.460376317,37,0,0.074155949,4975.0,6,0,0,0,0.0,0,Low (<20%),30-39,0.43212583432379914,Medium Risk
79,0,0.335558577,69,0,0.270448637,15000.0,14,0,2,0,1.0,0,Moderate (20-40%),60-69,0.306512333109196,Medium Risk
80,0,0.270522569,41,0,2.797698945,1042.0,11,0,2,0,2.0,0,Very High (>100%),40-49,0.4337149647264454,Medium Risk
81,0,0.183316667,52,0,0.111131623,10833.0,14,0,2,0,1.0,0,Low (<20%),50-59,0.3110927125619221,Medium Risk
82,0,0.074861676,66,0,0.208842479,4500.0,3,0,1,0,0.0,0,Moderate (20-40%),60-69,0.1614482524191633,Low Risk
83,0,0.017258977,53,0,2.604510673,12414.0,13,0,1,0,2.0,0,Very High (>100%),50-59,0.20979298979180447,Medium Risk
84,0,0.054497069,56,0,0.492021814,4950.0,18,0,2,0,0.0,0,Elevated (40-60%),50-59,0.2727526542071986,Medium Risk
85,0,0.029164236,31,0,0.395031809,3300.0,10,0,1,0,0.0,0,Moderate (20-40%),30-39,0.28645302742846696,Medium Risk
86,0,0.0,58,0,0.316144874,4886.0,9,0,1,0,1.0,0,Moderate (20-40%),50-59,0.18651032292952277,Low Risk
87,0,0.360509632,58,1,3282.0,5400.0,8,0,2,0,0.0,1,Very High (>100%),50-59,0.3603290873239708,Medium Risk
88,0,0.003749688,64,0,0.004061231,3200.0,5,0,0,1,0.0,1,Low (<20%),60-69,0.17033240371643946,Low Risk
89,1,0.734477501,45,0,0.591477634,4716.0,13,0,2,0,2.0,0,Elevated (40-60%),40-49,0.6752498383076502,High Risk
90,0,0.080564168,60,0,0.487288997,4916.0,15,0,2,0,0.0,0,Elevated (40-60%),50-59,0.25404207719835276,Medium Risk
91,0,0.039387786,51,0,15466.0,0.0,7,0,0,0,0.0,0,Very High (>100%),50-59,0.09271763708495329,Low Risk
92,0,0.023767433,83,0,0.123797734,10500.0,13,0,0,0,0.0,0,Low (<20%),70+,0.11986916482282463,Low Risk
93,0,0.784835658,52,0,2662.0,5400.0,10,0,2,1,0.0,1,Very High (>100%),50-59,0.6483834330775247,High Risk
94,0,0.888822236,34,0,0.368403802,3050.0,4,0,0,0,1.0,0,Moderate (20-40%),30-39,0.6883594659283379,High Risk
95,0,0.791173628,44,0,0.51241535,3100.0,5,0,1,0,0.0,0,Elevated (40-60%),40-49,0.6195127410642033,High Risk
96,0,0.24535301,37,0,0.288417167,6500.0,11,1,1,1,0.0,2,Moderate (20-40%),30-39,0.47471609880397925,Medium Risk
97,0,0.542242704,48,2,10.0,5400.0,2,0,0,0,0.0,2,Very High (>100%),40-49,0.5107418709853867,High Risk
98,0,0.010531379,57,0,0.280664917,5714.0,6,0,1,0,0.0,0,Moderate (20-40%),50-59,0.17169204020327394,Low Risk
99,0,0.363199686,32,0,0.480523957,2900.0,4,0,1,0,0.0,0,Elevated (40-60%),30-39,0.42031645922743555,Medium Risk
100,0,0.032617977,75,0,0.006799093,7500.0,4,0,0,0,0.0,0,Low (<20%),70+,0.11511287513029152,Low Risk
101,0,0.013024674,61,0,15.0,5400.0,4,0,0,0,0.0,0,Very High (>100%),60-69,0.1416835108343792,Low Risk
102,0,0.019387779,34,0,0.32591852,4000.0,9,0,1,0,0.0,0,Moderate (20-40%),30-39,0.26307122473482564,Medium Risk
103,0,0.634485057,52,0,0.138238573,2690.0,2,0,0,0,0.0,0,Low (<20%),50-59,0.44846689692181835,Medium Risk
104,0,0.888008615,44,0,0.299246282,4908.0,8,0,0,0,1.0,0,Moderate (20-40%),40-49,0.6675703065112072,High Risk
105,0,0.003108849,57,0,0.258939285,8333.0,7,0,1,0,0.0,0,Moderate (20-40%),50-59,0.1666133244637726,Low Risk
106,0,0.114830941,46,0,0.026235802,6250.0,6,0,0,0,3.0,0,Low (<20%),40-49,0.24294814048652993,Medium Risk
107,0,0.018886792,80,0,0.003478779,10060.0,5,0,0,0,0.0,0,Low (<20%),70+,0.10182142519452073,Low Risk
108,0,0.635415157,32,0,0.519493502,3000.0,4,0,1,0,1.0,0,Elevated (40-60%),30-39,0.5865095928167989,High Risk
109,0,0.9999999,62,0,0.664221287,8314.0,8,0,3,0,0.0,0,High (60-100%),60-69,0.7042803204523302,High Risk
110,0,0.041257909,61,0,4739.0,5400.0,11,0,4,0,0.0,0,Very High (>100%),60-69,0.20284041217102672,Medium Risk
111,0,0.096737158,47,0,0.009748781,8000.0,2,0,0,0,2.0,0,Low (<20%),40-49,0.20019007910016134,Medium Risk
112,0,0.31844615,58,0,1.382629108,3833.0,26,0,4,0,0.0,0,Very High (>100%),50-59,0.5176173063395784,High Risk
113,0,0.186987534,52,0,0.023993145,3500.0,4,0,0,0,0.0,0,Low (<20%),50-59,0.230894849464466,Medium Risk
114,0,0.006541851,68,0,0.108089191,10000.0,10,0,2,0,1.0,0,Low (<20%),60-69,0.16963829849807163,Low Risk
115,0,0.180972181,39,1,0.384441575,3097.0,7,0,1,0,3.0,1,Moderate (20-40%),30-39,0.39148780692903185,Medium Risk
116,0,0.00750765,74,0,7.0,5400.0,4,0,0,0,0.0,0,Very High (>100%),70+,0.11484015167560631,Low Risk
117,0,0.06790706,46,0,0.149103029,10200.0,6,0,2,0,0.0,0,Low (<20%),40-49,0.22804029256668,Medium Risk
118,0,0.033461782,44,0,1.243362832,4067.0,5,0,2,0,1.0,0,Very High (>100%),40-49,0.2421936112499116,Medium Risk
119,0,0.007520592,68,0,269.0,5400.0,4,0,0,0,0.0,0,Very High (>100%),60-69,0.1243303905423261,Low Risk
120,0,0.015271802,68,0,0.12290366,8168.0,6,0,0,0,0.0,0,Low (<20%),60-69,0.1288874518366467,Low Risk
121,0,0.51712072,31,0,0.123752495,500.0,3,0,0,0,0.0,0,Low (<20%),30-39,0.48970324086862765,Medium Risk
122,0,0.317975796,34,0,0.297933792,4500.0,11,0,2,0,0.0,0,Moderate (20-40%),30-39,0.45577485326920414,Medium Risk
123,0,0.297594642,67,0,0.239507959,4145.0,13,0,0,0,0.0,0,Moderate (20-40%),60-69,0.2769400111560295,Medium Risk
124,0,0.444837661,58,0,0.366545247,14000.0,9,0,2,1,4.0,1,Moderate (20-40%),50-59,0.46173618038462033,Medium Risk
125,0,0.277956679,39,0,4090.0,5400.0,9,0,2,0,0.0,0,Very High (>100%),30-39,0.3380595241313406,Medium Risk
126,0,0.003722015,58,0,0.63332301,3228.0,5,0,1,0,0.0,0,High (60-100%),50-59,0.16929299059576575,Low Risk
127,0,0.0,61,0,0.2226598,3300.0,14,0,1,0,0.0,0,Moderate (20-40%),60-69,0.19920643107489364,Low Risk
128,0,0.0,59,0,0.218854341,19167.0,13,0,2,0,0.0,0,Moderate (20-40%),50-59,0.17275040987632395,Low Risk
129,0,0.151912549,36,0,0.266394467,12000.0,22,0,2,0,0.0,0,Moderate (20-40%),30-39,0.3975770899683661,Medium Risk
130,0,0.0,59,0,0.351699622,4500.0,12,0,1,0,0.0,0,Moderate (20-40%),50-59,0.19211130222241413,Low Risk
131,0,0.175727593,43,1,994.0,5400.0,4,0,1,0,0.0,1,Very High (>100%),40-49,0.3031695897302076,Medium Risk
132,0,0.011498563,77,0,0.001998002,1000.0,1,0,0,0,0.0,0,Low (<20%),70+,0.10987999730219836,Low Risk
133,0,0.0,48,0,0.517468688,4550.0,7,0,2,0,0.0,0,Elevated (40-60%),40-49,0.21760502192866574,Medium Risk
134,0,0.163037489,81,0,0.086482558,2751.0,7,0,0,0,1.0,0,Low (<20%),70+,0.16421314172129706,Low Risk
135,0,0.047311582,51,0,0.100920343,3150.0,5,0,0,0,0.0,0,Low (<20%),50-59,0.18622840863461088,Low Risk
136,0,0.083880003,53,0,0.199647533,7943.0,8,0,1,0,0.0,0,Low (<20%),50-59,0.21155679997454024,Medium Risk
137,0,0.089478348,56,0,1.065901518,2700.0,11,0,1,0,2.0,0,Very High (>100%),50-59,0.25139890153872313,Medium Risk
138,0,0.773519223,63,0,1.129227053,4139.0,12,0,1,0,1.0,0,Very High (>100%),60-69,0.5836060620006358,High Risk
139,0,0.093962275,55,0,0.112051635,9450.0,6,0,2,0,0.0,0,Low (<20%),50-59,0.2136086745739314,Medium Risk
140,0,0.21955042,54,0,0.315983758,5417.0,20,0,2,0,1.0,0,Moderate (20-40%),50-59,0.3841436765834737,Medium Risk
141,0,0.147996253,55,0,0.323088235,6799.0,5,0,1,0,0.0,0,Moderate (20-40%),50-59,0.21957747324222934,Medium Risk
142,0,0.576518559,72,0,3031.0,5400.0,11,0,1,0,0.0,0,Very High (>100%),70+,0.3663329097072655,Medium Risk
143,0,0.243872021,53,0,0.534027778,8639.0,22,0,2,0,3.0,0,Elevated (40-60%),50-59,0.4211524637604059,Medium Risk
144,0,0.362483818,27,0,567.0,5400.0,4,0,0,0,0.0,0,Very High (>100%),18-29,0.39555273530797436,Medium Risk
145,0,0.116676791,31,0,0.343593791,3800.0,7,0,1,0,0.0,0,Moderate (20-40%),30-39,0.30877589028353897,Medium Risk
146,0,0.9999999,38,0,0.43369976,5821.0,7,0,1,0,4.0,0,Elevated (40-60%),30-39,0.7769421504535352,High Risk
147,0,0.496911825,40,0,0.452363811,12500.0,11,0,2,0,2.0,0,Elevated (40-60%),30-39,0.5167403277191526,High Risk
148,0,0.130902106,48,1,0.427882174,3937.0,17,0,1,0,0.0,1,Elevated (40-60%),40-49,0.36334413344353583,Medium Risk
149,0,0.54699881,50,0,0.748071979,3500.0,9,0,2,0,3.0,0,High (60-100%),40-49,0.5385950529742587,High Risk
150,0,0.072277109,34,0,0.025911708,2083.0,2,0,0,0,0.0,0,Low (<20%),30-39,0.23403250552285446,Medium Risk
151,0,0.0,48,2,0.370876375,3000.0,14,0,1,0,5.0,2,Moderate (20-40%),40-49,0.3748689012884204,Medium Risk
152,0,0.175932019,57,1,0.655812625,3500.0,9,0,1,0,1.0,1,High (60-100%),50-59,0.31023293861319806,Medium Risk
153,0,0.050789842,30,0,0.315171207,4000.0,4,0,1,0,1.0,0,Moderate (20-40%),18-29,0.2705114694219729,Medium Risk
154,0,0.0,28,0,0.144616356,3166.0,7,0,0,0,0.0,0,Low (<20%),18-29,0.24556047567206754,Medium Risk
155,0,0.21286031,36,0,0.563752087,9583.0,10,0,2,0,1.0,0,Elevated (40-60%),30-39,0.36848478210844354,Medium Risk
156,0,0.012682366,60,0,0.412979783,6825.0,20,0,2,0,0.0,0,Elevated (40-60%),50-59,0.2452144833029367,Medium Risk
157,0,0.121557062,58,0,0.342971419,12000.0,23,0,2,0,4.0,0,Moderate (20-40%),50-59,0.3357554345833544,Medium Risk
158,0,0.040795358,49,0,0.801999355,3100.0,11,0,1,0,0.0,0,High (60-100%),40-49,0.23698699035701332,Medium Risk
159,0,0.147712223,40,0,0.034847816,6800.0,6,0,0,0,3.0,0,Low (<20%),30-39,0.2759173417855228,Medium Risk
160,0,0.0,63,0,2.0,5400.0,4,0,0,0,0.0,0,Very High (>100%),60-69,0.13400119971639118,Low Risk
161,0,0.0,50,1,0.726566993,3477.0,5,0,1,0,1.0,1,High (60-100%),40-49,0.23132643740560754,Medium Risk
162,0,0.070771911,38,0,2088.0,5400.0,6,0,1,0,0.0,0,Very High (>100%),30-39,0.22864264768002995,Medium Risk
163,1,1.046279103,47,1,1.104301274,5416.0,6,0,2,0,1.0,1,Very High (>100%),40-49,0.8000148019851163,High Risk
164,0,0.323719804,63,0,0.610841267,5146.0,9,0,2,0,2.0,0,High (60-100%),60-69,0.3400359066761145,Medium Risk
165,0,0.36459777,42,0,0.593899089,6916.0,7,0,3,0,0.0,0,Elevated (40-60%),40-49,0.43521968212197365,Medium Risk
166,0,0.637736406,54,2,3.382196162,1875.0,9,0,2,0,0.0,2,Very High (>100%),50-59,0.6565401321269365,High Risk
167,0,0.081379827,63,0,1268.0,5400.0,8,0,1,0,0.0,0,Very High (>100%),60-69,0.17878362655949465,Low Risk
168,0,0.020966389,29,0,639.5,1.0,3,0,1,0,2.0,0,Very High (>100%),18-29,0.26961927836237143,Medium Risk
169,0,0.170103002,36,0,0.138461538,7734.0,8,0,0,0,0.0,0,Low (<20%),30-39,0.28446448694132426,Medium Risk
170,0,0.771845631,33,0,0.852429514,5000.0,7,0,3,0,0.0,0,High (60-100%),30-39,0.7066113918295018,High Risk
171,0,0.05538241,72,0,0.089091313,4500.0,4,0,0,0,0.0,0,Low (<20%),70+,0.13251176703075035,Low Risk
172,0,0.9999999,29,0,974.0,5400.0,2,0,0,0,0.0,0,Very High (>100%),18-29,0.7191218954637886,High Risk
173,0,0.16653274,53,0,0.543625949,7506.0,11,0,3,0,3.0,0,Elevated (40-60%),50-59,0.3346047953971892,Medium Risk
174,0,0.008632035,79,0,0.365151154,4200.0,9,0,1,0,0.0,0,Moderate (20-40%),70+,0.13591020183680505,Low Risk
175,0,0.13527952,58,0,0.342005076,9455.0,11,0,2,0,2.0,0,Moderate (20-40%),50-59,0.2623391639021129,Medium Risk
176,0,0.167571389,69,0,0.330733853,5000.0,10,0,1,0,1.0,0,Moderate (20-40%),60-69,0.2227346553832623,Medium Risk
177,0,0.9999999,69,0,0.005319149,2255.0,0,1,0,0,3.0,1,Low (<20%),60-69,0.6539604209460993,High Risk
178,0,0.068335151,75,0,0.010927876,10065.0,9,0,0,0,0.0,0,Low (<20%),70+,0.13493762012376506,Low Risk
179,0,0.0,41,0,0.907538526,2400.0,6,0,1,0,0.0,0,High (60-100%),40-49,0.22162724753932664,Medium Risk
180,1,0.946963874,35,0,1593.0,5400.0,6,0,1,0,1.0,0,Very High (>100%),30-39,0.7194853611691403,High Risk
181,0,0.405183973,46,0,0.667835346,7700.0,22,0,2,0,1.0,0,High (60-100%),40-49,0.5290453686733603,High Risk
182,0,0.055549313,65,0,2177.0,5400.0,6,0,1,0,1.0,0,Very High (>100%),60-69,0.1556728821941186,Low Risk
183,0,0.676195456,55,0,0.436665827,3970.0,10,1,1,0,0.0,1,Elevated (40-60%),50-59,0.5935549404143919,High Risk
184,0,0.184986787,55,4,3144.0,5400.0,11,0,1,0,0.0,4,Very High (>100%),50-59,0.43111900624387917,Medium Risk
185,1,0.085338293,51,0,0.477503628,6200.0,11,0,1,0,0.0,0,Elevated (40-60%),50-59,0.23907905405985522,Medium Risk
186,1,0.0,25,0,0.152896812,2916.0,3,0,0,1,0.0,1,Low (<20%),18-29,0.27697250231048287,Medium Risk
187,1,0.786485406,44,0,0.291709578,3883.0,7,2,0,2,1.0,4,Moderate (20-40%),40-49,0.7923643220539044,High Risk
188,0,0.0112096,86,0,13.0,5400.0,3,0,0,0,0.0,0,Very High (>100%),70+,0.09329800509129427,Low Risk
189,0,0.03833451,56,0,0.438912218,5000.0,7,0,2,0,0.0,0,Elevated (40-60%),50-59,0.20759815863066772,Medium Risk
190,0,0.714980139,55,0,0.47090194,15000.0,12,0,2,0,3.0,0,Elevated (40-60%),50-59,0.5826523178303342,High Risk
191,0,0.043032042,64,0,0.332016389,6833.0,14,0,2,0,0.0,0,Moderate (20-40%),60-69,0.21434412629841446,Medium Risk
192,0,1.095083357,53,5,0.536703799,3500.0,7,1,1,2,0.0,8,Elevated (40-60%),50-59,0.9459782111019381,High Risk
193,0,0.0,49,0,2932.0,5400.0,11,0,1,0,0.0,0,Very High (>100%),40-49,0.18580371032948553,Low Risk
194,0,0.9999999,55,0,0.156259612,3250.0,5,0,0,0,4.0,0,Low (<20%),50-59,0.6959742817979887,High Risk
195,0,0.101430135,80,1,0.016196761,5000.0,9,0,0,0,0.0,1,Low (<20%),70+,0.17450033386282493,Low Risk
196,1,0.025892469,38,0,74.5,1.0,13,0,0,0,2.0,0,Very High (>100%),30-39,0.2831381236722226,Medium Risk
197,0,0.762158561,44,4,0.224465502,21000.0,5,0,1,0,3.0,4,Moderate (20-40%),40-49,0.7504919667187308,High Risk
198,0,0.231692268,40,0,0.119660709,3300.0,7,0,0,0,0.0,0,Low (<20%),30-39,0.31057010469977986,Medium Risk
199,0,0.114869499,35,0,103.0,5400.0,6,0,0,0,0.0,0,Very High (>100%),30-39,0.25833430877691793,Medium Risk
200,0,0.035489848,69,0,0.308438695,3400.0,9,0,1,0,0.0,0,Moderate (20-40%),60-69,0.16842380279600935,Low Risk
201,0,0.045423864,64,0,0.181311286,5200.0,4,0,1,0,0.0,0,Low (<20%),60-69,0.15916527978289846,Low Risk
202,0,0.311954668,61,0,0.269281443,9866.0,12,0,2,0,2.0,0,Moderate (20-40%),60-69,0.3419825078126062,Medium Risk
203,0,0.078738916,46,0,0.166215372,4800.0,6,0,1,0,4.0,0,Low (<20%),40-49,0.2604409092986529,Medium Risk
204,0,0.137609462,49,0,0.429533892,7272.0,11,0,2,0,0.0,0,Elevated (40-60%),40-49,0.2868088168061576,Medium Risk
205,0,0.030173038,64,0,0.17386957,9000.0,8,0,1,0,0.0,0,Low (<20%),60-69,0.1606932713312671,Low Risk
